snapshot_at,source,channel_slug,channel_name,channel_type,format_key,name,label,width,height,duration,family,kind,best_for,devices,channels,placement_zones,viewer_types,required_elements,optional_elements,forbidden_elements,safe_areas,aliases,commercial_notes
2026-09-15T18:01:28+00:00,channel_catalog,99,99,mobile,story-9x16,Splash Screen,9:16,1080,1920,,,,abertura,"[""mobile"",""app""]","[""mobile""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,99,99,mobile,feed-1x1,In-App Ads,In-app,1080,1080,,,,durante a corrida,"[""mobile"",""app""]","[""mobile""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,99,99,mobile,feed-1x1,Cupom no app,Cupom,1080,1080,,,,conversão,"[""mobile"",""app""]","[""mobile""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,amazon-music,Amazon Music,audio,audio-bar,Audio Ads (spots em streaming),15s/30s,728,90,,,,impacto em momentos de escuta em música e áudio premium no tier com anúncios do Amazon Music,"[""audio"",""mobile"",""desktop"",""tablet"",""ctv""]","[""audio""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,amazon-music,Amazon Music,audio,audio-bar,Podcast Audio Ads,15s/30s,728,90,,,,mensagens de marca em ambientes de podcast via inventário Amazon Music/Wondery/APD,"[""audio"",""mobile"",""desktop"",""tablet""]","[""audio""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,amazon-music,Amazon Music,audio,audio-bar,Programmatic 3P Audio (via Amazon DSP),Áudio,728,90,,,,"escala e frequência em ecossistema de streaming de áudio além do Amazon Music, em compra única","[""audio"",""mobile"",""desktop"",""tablet"",""ctv""]","[""audio""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,amazon-music,Amazon Music,audio,audio-bar,Programmatic 3P Audio (APD/Twitch/Spotify/iHeart/SiriusXM),Áudio,728,90,,,,"escala e frequência em ecossistema de streaming de áudio além do Amazon Music, em compra única","[""audio"",""mobile"",""desktop"",""tablet"",""ctv""]","[""audio""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,cnn-brasil,CNN Brasil,portal,iab-medium,Display Ads,300×250,300,250,,,,cobertura em contexto noticioso no portal CNN Brasil,"[""desktop"",""mobile"",""tablet""]","[""portal""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,cnn-brasil,CNN Brasil,portal,ctv-16x9,Video Pre-roll,Pre-roll,1920,1080,,,,campanhas em conteúdos de vídeo on-demand e notícias em vídeo no portal,"[""desktop"",""mobile"",""tablet""]","[""portal""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,cnn-brasil,CNN Brasil,portal,linkedin-landscape,Branded Content Portal,1.91:1,1200,627,,,,"projetos especiais com narrativa jornalística, séries, webséries e conteúdos patrocinados em verticais temáticas","[""desktop"",""mobile"",""tablet""]","[""portal""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,cnn-brasil,CNN Brasil,portal,iab-leaderboard,Native Ads / Conteúdo Patrocinado,728×90,728,90,,,,"integração orgânica em listas, módulos de destaque e áreas de recomendação de conteúdo","[""desktop"",""mobile"",""tablet""]","[""portal""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,cnn-brasil,CNN Brasil,portal,iab-medium,Patrocínio de Seções / Verticais,300×250,300,250,,,,"associação de marca a temas específicos como economia, tecnologia, política, esportes","[""desktop"",""mobile"",""tablet""]","[""portal""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,cnn-brasil,CNN Brasil,portal,iab-leaderboard,Newsletter Ads,E-mail,728,90,,,,relacionamento recorrente e segmentação de audiência que consome notícias por e-mail,"[""desktop"",""mobile""]","[""portal""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,cnn-brasil,CNN Brasil,portal,iab-medium,Shoppable Video / Video Interativo,300×250,300,250,,,,campanhas de performance e branding com compra diretamente em vídeo,"[""desktop"",""mobile"",""ctv""]","[""portal""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,deezer,Deezer,audio,audio-bar,Audio Ads,15s/30s,728,90,,,,mensagem em momentos de escuta com atenção plena,"[""audio"",""mobile"",""desktop"",""tablet"",""app""]","[""audio""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,deezer,Deezer,audio,iab-medium,Display Banner,300×250,300,250,,,,reforço visual da campanha de áudio,"[""mobile"",""desktop"",""tablet"",""app""]","[""audio""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,deezer,Deezer,audio,ctv-16x9,Video / Pre-roll,Pre-roll,1920,1080,,,,impacto de marca no início da sessão de escuta,"[""mobile"",""desktop"",""tablet"",""app""]","[""audio""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,deezer,Deezer,audio,audio-bar,Sponsored Editorial Playlist,15s/30s,728,90,,,,associação de marca a playlists curadas de alta afinidade,"[""mobile"",""desktop"",""tablet"",""app""]","[""audio""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,deezer,Deezer,audio,audio-bar,Sponsored Session / Escuta Patrocinada,15s/30s,728,90,,,,gerar percepção de marca generosa oferecendo sessão sem anúncios,"[""audio"",""mobile"",""desktop"",""tablet"",""app""]","[""audio""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,deezer,Deezer,audio,audio-bar,Sponsored Track,15s/30s,728,90,,,,descoberta imediata e aumento de plays de conteúdo específico,"[""audio"",""mobile"",""desktop"",""tablet"",""app""]","[""audio""]",[],[],[],[],[],{},[],{}
2026-09-15T18:01:28+00:00,channel_catalog,disney-plus,Disney+,ctv,ctv-16x9,Video Ads 15s/30s (pre-roll e mid-roll),16:9,1920,1080,,,,"campanhas em ambiente premium de streaming, em conteúdos on demand e ao vivo","[""ctv""]","[""ctv""]",[],[],[],[],[],{},[],{}
