id,nome_original,nome_canonico_proposto,nome_normalizado_chave,plataforma,categoria_atual,subcategoria_atual,papel_catalogo_proposto,escopo_mercado,mercado_principal_proposto,submercado_proposto,mercados_relacionados_propostos,orientacao_b2b_b2c,tipos_sinal_propostos,estagios_funil_propostos,confianca_regra,acao_migracao
70,Profissionais de Recursos Humanos interessados em oportunidades de emprego no Rio de Janeiro,Profissionais de Recursos Humanos interessados em oportunidades de emprego no Rio de Janeiro,profissionais de recursos humanos interessados em oportunidades de emprego no rio de janeiro,Programática,B2B & Indústria,Gestores & Coordenadores,conceito de audiência,vertical,"B2B, Enterprise & Indústria",Funções corporativas,Educação & Carreira,Híbrido,cargo/função profissional | demográfico/socioeconômico | interesse/afinidade,Conhecimento | Consideração,média,mapear
71,"Profissionais de Recursos Humanos com afinidade financeira, baseados em Portugal, usuários da Boa Vista Serviços SCPC",Profissionais de Recursos Humanos com afinidade financeira,"profissionais de recursos humanos com afinidade financeira, baseados em portugal, usuarios da boa vista servicos scpc",Programática,B2B & Indústria,Gestores & Coordenadores,conceito de audiência,vertical,Finanças & Seguros,Outros / revisar,"B2B, Enterprise & Indústria",B2B,cargo/função profissional | demográfico/socioeconômico | interesse/afinidade,Conhecimento | Consideração,média,mapear
72,"Empreendedores e indivíduos com interesse em negócios, com base em dados de atribuição de audiência Xandr","Empreendedores e indivíduos com interesse em negócios, com base em dados de atribuição de audiência","empreendedores e individuos com interesse em negocios, com base em dados de atribuicao de audiencia xandr",Programática,B2B & Indústria,Pequenos e Médios Empresários (PME),conceito de audiência,vertical,"B2B, Enterprise & Indústria",PMEs e empreendedores,,B2B,interesse/afinidade,Conhecimento | Consideração,alta,mapear
73,Novos Empreendedores Digitais Brasil,Novos Empreendedores Digitais Brasil,novos empreendedores digitais brasil,Programática,B2B & Indústria,Executivos C-Level & Diretores,conceito de audiência,vertical,"B2B, Enterprise & Indústria",PMEs e empreendedores,,B2B,,,alta,mapear
74,"Empreendedores B2B nos EUA que falam espanhol, identificados por MAID ID","Empreendedores B2B nos EUA que falam espanhol, identificados por MAID ID","empreendedores b2b nos eua que falam espanhol, identificados por maid id",Programática,B2B & Indústria,Pequenos e Médios Empresários (PME),conceito de audiência,vertical,"B2B, Enterprise & Indústria",PMEs e empreendedores,,B2B,,,alta,mapear
75,"Pessoas que demonstraram interesse em saúde, com foco em conteúdo do Catraca Livre.",Pessoas que demonstraram interesse em saúde,"pessoas que demonstraram interesse em saude, com foco em conteudo do catraca livre.",Programática,Saúde & Bem-estar,Fitness & Esportes (Praticantes),contexto/afinidade de conteúdo,vertical,"Saúde, Bem-estar & Beleza",Saúde e prevenção,,B2C,interesse/afinidade | consumo de conteúdo,Conhecimento | Consideração,alta,mapear
76,"Sócios de empresas nas áreas de saúde humana e serviços sociais, conforme dados da Boa Vista Serviços.",Sócios de empresas nas áreas de saúde humana e serviços sociais,"socios de empresas nas areas de saude humana e servicos sociais, conforme dados da boa vista servicos.",Programática,Saúde & Bem-estar,Fitness & Esportes (Praticantes),conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Saúde e prevenção,"B2B, Enterprise & Indústria",B2B,empresa/firmográfico,,média,mapear
77,"Profissionais de saúde, com validação da Boa Vista Serviços.",Profissionais de saúde,"profissionais de saude, com validacao da boa vista servicos.",Programática,Saúde & Bem-estar,Fitness & Esportes (Praticantes),conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Saúde e prevenção,"Entretenimento, Conteúdo & Esportes | B2B, Enterprise & Indústria",B2B,cargo/função profissional,,média,mapear
78,Pessoas ativamente engajadas com conteúdo sobre alimentação saudável,Pessoas ativamente engajadas com conteúdo sobre alimentação saudável,pessoas ativamente engajadas com conteudo sobre alimentacao saudavel,Programática,Saúde & Bem-estar,Alimentação Saudável & Dietas,contexto/afinidade de conteúdo,vertical,"Entretenimento, Conteúdo & Esportes","Cinema, séries e gêneros",,B2C,consumo de conteúdo,Conhecimento | Consideração,alta,mapear
79,"Pessoas interessadas em animais de estimação para a família (cães, gatos, etc.)","Pessoas interessadas em animais de estimação para a família (cães, gatos, etc.)","pessoas interessadas em animais de estimacao para a familia (caes, gatos, etc.)",Programática,Consumo & Varejo,Amantes de Pets,conceito de audiência,vertical,Varejo & Consumo,Pets,"Entretenimento, Conteúdo & Esportes",B2C,demográfico/socioeconômico | interesse/afinidade,Conhecimento | Consideração,média,mapear
80,"Pessoas interessadas especificamente em gatos, produtos e cuidados para gatos.","Pessoas interessadas especificamente em gatos, produtos e cuidados para gatos","pessoas interessadas especificamente em gatos, produtos e cuidados para gatos.",Programática,Consumo & Varejo,Amantes de Pets,conceito de audiência,vertical,Varejo & Consumo,Pets,,B2C,interesse/afinidade,Conhecimento | Consideração,alta,mapear
81,Pessoas interessadas ou considerando a adoção de animais de estimação.,Pessoas interessadas ou considerando a adoção de animais de estimação,pessoas interessadas ou considerando a adocao de animais de estimacao.,Programática,Consumo & Varejo,Amantes de Pets,conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes","Cinema, séries e gêneros",,B2C,interesse/afinidade,Conhecimento | Consideração,alta,mapear
82,"Pessoas interessadas especificamente em cachorros, produtos e cuidados para cães.","Pessoas interessadas especificamente em cachorros, produtos e cuidados para cães","pessoas interessadas especificamente em cachorros, produtos e cuidados para caes.",Programática,Consumo & Varejo,Amantes de Pets,conceito de audiência,vertical,Varejo & Consumo,Pets,,B2C,interesse/afinidade,Conhecimento | Consideração,alta,mapear
