snapshot_at,id,slug,nome,canonical_name,titulo_chamativo,plataforma,fonte,categoria,subcategoria,catalog_role,market_scope,primary_market,primary_submarket,related_markets,b2b_b2c_orientation,signal_types,funnel_stages,available_channels,geographic_scope,activation_restrictions,descricao,descricao_curta,descricao_comercial,caso_uso_principal,insights_planejamento,diferenciais_competitivos,perfil_socioeconomico,tags,momentos_chave,interesses_correlatos,publico_estimado,publico_numero,tamanho,demografia,dispositivos,propensao_compra,sazonalidade,curation_status,classification_confidence,data_quality_status,data_origin,source_reference,source_observed_at,data_valid_until,methodology_note,is_estimated,verification_candidate,verification_gaps,measurements
2026-09-15T18:01:28+00:00,1021,g1-demo-18-24,18-24,18-24,18-24,G1 / Globo.com,G1,Entretenimento & Mídia,,perfil transversal,transversal,,,[],Transversal/indefinido,[],"[""Conhecimento""]",[],[],[],,"Audiência G1 — demografia. 18-24 (14,4M usuários estimados).",,,,,A/B,"[""demografia"",""cotação"",""g1""]",[],[],"14,4M",14400000,media,"{""demografia_homens"":52,""demografia_mulheres"":48,""idade_18_24"":100,""idade_25_34"":0,""idade_35_44"":0,""idade_45_mais"":0}","{""mobile"":70,""desktop"":22,""tablet"":8}",media,,draft,média,unverified,,,,,,,False,"[""origem"",""fonte de evidência"",""data de observação"",""validade"",""metodologia"",""canais de ativação explícitos""]",[]
2026-09-15T18:01:28+00:00,1216,sbt-demo-18-24,18-24,18-24,18-24,SBT,SBT,Entretenimento & Mídia,,perfil transversal,transversal,,,[],Transversal/indefinido,[],"[""Conhecimento""]",[],[],[],,"Audiência SBT — demografia. 18-24 (7,7M usuários estimados).",,,,,A/B,"[""demografia"",""cotação"",""sbt""]",[],[],"7,7M",7700000,media,"{""demografia_homens"":45,""demografia_mulheres"":55,""idade_18_24"":100,""idade_25_34"":0,""idade_35_44"":0,""idade_45_mais"":0}","{""mobile"":70,""desktop"":22,""tablet"":8}",media,,draft,média,unverified,,,,,,,False,"[""origem"",""fonte de evidência"",""data de observação"",""validade"",""metodologia"",""canais de ativação explícitos""]",[]
2026-09-15T18:01:28+00:00,1100,cnn-demo-18-24,18-24 anos,18-24 anos,18-24 anos,CNN Brasil,CNN,Entretenimento & Mídia,,perfil transversal,transversal,,,[],Transversal/indefinido,"[""demográfico/socioeconômico""]","[""Conhecimento""]",[],[],[],,"Audiência CNN — demografia. 18-24 anos (3,8M usuários estimados).",,,,,A/B,"[""demografia"",""cotação"",""cnn""]",[],[],"3,8M",3750000,media,"{""demografia_homens"":55,""demografia_mulheres"":45,""idade_18_24"":100,""idade_25_34"":0,""idade_35_44"":0,""idade_45_mais"":0}","{""mobile"":70,""desktop"":22,""tablet"":8}",media,,draft,alta,unverified,,,,,,,False,"[""origem"",""fonte de evidência"",""data de observação"",""validade"",""metodologia"",""canais de ativação explícitos""]",[]
2026-09-15T18:01:28+00:00,1568,netflix-demo-18-24,18-24 anos (Young Adults),18-24 anos (Young Adults),Jovens Nativos Digitais do Streaming,Netflix,Netflix,Entretenimento & Mídia,,contexto/afinidade de conteúdo,transversal,,,[],Transversal/indefinido,"[""demográfico/socioeconômico""]",[],[],[],[],"Geracao Z conectada que consome entretenimento exclusivamente via streaming. 100% entre 18-24 anos, distribuicao equilibrada entre generos, com forte preferencia por dispositivos moveis para consumo de conteudo.","Geracao Z conectada que consome entretenimento exclusivamente via streaming. 100% entre 18-24 anos, distribuicao equilibrada entre generos, com forte preferencia por dispositivos moveis para consumo de conteudo.","Campanhas de video em formato vertical para mobile, com foco em trailers interativos e conteudo behind-the-scenes. A alta concentracao em dispositivos moveis e o perfil de early adopters tornam ideais campanhas de lancamento de series, filmes e produtos licenciados, com CTR medio de 1.2% na categoria segundo dados do setor.","Campanhas de video em formato vertical para mobile, com foco em trailers interativos e conteudo behind-the-scenes. A alta concentracao em dispositivos moveis e o perfil de early adopters tornam ideais campanhas de lancamento de series, filmes e produtos licenciados, com CTR medio de 1.2% na categoria segundo dados do setor.",,"Diferente de audiencias generalistas, este publico possui comportamento de consumo altamente segmentado e fidelizado a marcas de entretenimento. Sua capacidade de influenciar tendencias atraves de redes sociais e o alto lifetime value em produtos licenciados os tornam estrategicos para campanhas de awareness e conversao de longo prazo.",B/C,"[""streaming-native"",""binge-watchers"",""mobile-first"",""social-discovery"",""franchise-fans"",""early-adopters"",""content-creators"",""nostalgia-driven"",""fomo-sensitive"",""brand-loyal"",""trend-setters"",""digital-collectors"",""multi-platform"",""influence-receptive"",""experience-seekers""]","[""Lancamentos de temporadas de series populares"",""Comic-Con e eventos de cultura pop"",""Black Friday e promocoes de streaming"",""Periodo de ferias escolares"",""Finais de semana e feriados prolongados"",""Datas comemorativas de franquias"",""Premiacoes de entretenimento (Emmy, Oscar)"",""Lancamentos de produtos licenciados exclusivos""]","[""Gaming e eSports"",""Anime e manga"",""Cultura pop e colecionaveis"",""Tecnologia e gadgets"",""Redes sociais e criacao de conteudo"",""Musica e podcasts"",""Moda streetwear"",""Arte digital e NFTs"",""Eventos e convencoes"",""Fotografia mobile""]",3.2M,3200000,pequena,"{""demografia_homens"":50,""demografia_mulheres"":50,""idade_18_24"":100,""idade_25_34"":0,""idade_35_44"":0,""idade_45_mais"":0}","{""mobile"":30,""desktop"":15,""tablet"":10}",alta,"Picos em lancamentos de conteudo, ferias escolares e eventos de cultura pop",draft,média,unverified,,,,,,,False,"[""origem"",""fonte de evidência"",""data de observação"",""validade"",""metodologia"",""canais de ativação explícitos""]",[]
2026-09-15T18:01:28+00:00,1022,g1-demo-25-34,25-34,25-34,25-34,G1 / Globo.com,G1,Entretenimento & Mídia,,perfil transversal,transversal,,,[],Transversal/indefinido,[],"[""Conhecimento""]",[],[],[],,"Audiência G1 — demografia. 25-34 (22,4M usuários estimados).",,,,,A/B,"[""demografia"",""cotação"",""g1""]",[],[],"22,4M",22400000,media,"{""demografia_homens"":52,""demografia_mulheres"":48,""idade_18_24"":0,""idade_25_34"":100,""idade_35_44"":0,""idade_45_mais"":0}","{""mobile"":70,""desktop"":22,""tablet"":8}",media,,draft,média,unverified,,,,,,,False,"[""origem"",""fonte de evidência"",""data de observação"",""validade"",""metodologia"",""canais de ativação explícitos""]",[]
2026-09-15T18:01:28+00:00,1217,sbt-demo-25-34,25-34,25-34,25-34,SBT,SBT,Entretenimento & Mídia,,perfil transversal,transversal,,,[],Transversal/indefinido,[],"[""Conhecimento""]",[],[],[],,"Audiência SBT — demografia. 25-34 (9,8M usuários estimados).",,,,,A/B,"[""demografia"",""cotação"",""sbt""]",[],[],"9,8M",9800000,media,"{""demografia_homens"":45,""demografia_mulheres"":55,""idade_18_24"":0,""idade_25_34"":100,""idade_35_44"":0,""idade_45_mais"":0}","{""mobile"":70,""desktop"":22,""tablet"":8}",media,,draft,média,unverified,,,,,,,False,"[""origem"",""fonte de evidência"",""data de observação"",""validade"",""metodologia"",""canais de ativação explícitos""]",[]
2026-09-15T18:01:28+00:00,1101,cnn-demo-25-34,25-34 anos,25-34 anos,25-34 anos,CNN Brasil,CNN,Entretenimento & Mídia,,perfil transversal,transversal,,,[],Transversal/indefinido,"[""demográfico/socioeconômico""]","[""Conhecimento""]",[],[],[],,"Audiência CNN — demografia. 25-34 anos (7,0M usuários estimados).",,,,,A/B,"[""demografia"",""cotação"",""cnn""]",[],[],"7,0M",7000000,media,"{""demografia_homens"":55,""demografia_mulheres"":45,""idade_18_24"":0,""idade_25_34"":100,""idade_35_44"":0,""idade_45_mais"":0}","{""mobile"":70,""desktop"":22,""tablet"":8}",media,,draft,alta,unverified,,,,,,,False,"[""origem"",""fonte de evidência"",""data de observação"",""validade"",""metodologia"",""canais de ativação explícitos""]",[]
2026-09-15T18:01:28+00:00,1569,netflix-demo-25-34,25-34 anos (Core Adults),25-34 anos (Core Adults),Profissionais de Midia Digital em Ascensao: Publico Netflix 25-34 Anos,Netflix,Netflix,Entretenimento & Mídia,,contexto/afinidade de conteúdo,transversal,,,[],Transversal/indefinido,"[""demográfico/socioeconômico""]",[],[],[],[],"Audiencia equilibrada entre generos (50/50) concentrada na faixa de 25-34 anos. Profissionais nativos digitais com 30% de uso em dispositivos moveis, 50% com filhos. Publico de 3.5M altamente engajado com streaming e tecnologia.","Audiencia equilibrada entre generos (50/50) concentrada na faixa de 25-34 anos. Profissionais nativos digitais com 30% de uso em dispositivos moveis, 50% com filhos. Publico de 3.5M altamente engajado com streaming e tecnologia.","Ideal para campanhas B2B focadas em solucoes tecnologicas, ferramentas de criacao de conteudo e plataformas de marketing digital. Com 30% do tempo em dispositivos moveis, respondem bem a formatos nativos e videos curtos que demonstrem funcionalidades praticas. O CTR medio da categoria de tecnologia para profissionais criativos fica entre 2,1% e 3,8%, segundo dados do setor. Audiencia com alta propensao a compra e ticket medio mensal de R$ 2.800.","Ideal para campanhas B2B focadas em solucoes tecnologicas, ferramentas de criacao de conteudo e plataformas de marketing digital. Com 30% do tempo em dispositivos moveis, respondem bem a formatos nativos e videos curtos que demonstrem funcionalidades praticas. O CTR medio da categoria de tecnologia para profissionais criativos fica entre 2,1% e 3,8%, segundo dados do setor. Audiencia com alta propensao a compra e ticket medio mensal de R$ 2.800.",,"Diferentemente de audiencias genericas de midia, este publico possui conhecimento tecnico aprofundado e poder de decisao em compras B2B. Eles nao apenas consomem conteudo, mas criam tendencias e influenciam milhoes atraves de seus projetos. Sua experiencia pratica os torna criticos e exigentes, mas tambem evangelizadores de solucoes que realmente funcionam [...]",B/C,"[""profissionais-criativos"",""marketing-digital"",""producao-conteudo"",""midia-programatica"",""streaming-professional"",""ai-early-adopters"",""b2b-decision-makers"",""tech-savvy-creatives"",""digital-natives-25-34"",""content-creators-tools"",""performance-marketing"",""video-production"",""social-media-managers"",""advertising-professionals"",""media-planners""]","[""Inicio de projetos criativos"",""Planejamento anual de campanhas"",""Lancamentos de produtos"",""Eventos do setor (SXSW, Cannes Lions)"",""Fechamento de trimestre"",""Periodo de awards"",""Black Friday B2B"",""Inicio do ano letivo (cursos/capacitacao)""]","[""Marketing digital"",""Inteligencia artificial"",""Producao audiovisual"",""Design grafico"",""Analytics e metricas"",""Streaming e OTT"",""Realidade aumentada"",""Podcasting"",""Influencer marketing"",""Growth hacking""]",3.5M,3500000,pequena,"{""demografia_homens"":50,""demografia_mulheres"":50,""idade_18_24"":0,""idade_25_34"":100,""idade_35_44"":0,""idade_45_mais"":0}","{""mobile"":30,""desktop"":15,""tablet"":10}",alta,"Picos em janeiro, maio e setembro. Baixa em dezembro e julho.",draft,média,unverified,,,,,,,False,"[""origem"",""fonte de evidência"",""data de observação"",""validade"",""metodologia"",""canais de ativação explícitos""]",[]
2026-09-15T18:01:28+00:00,1165,imo-demo-25-44,25-44 core investidores,25-44 core investidores,25-44 core investidores,InfoMoney,INFOMONEY,Finanças & Seguros,,contexto/afinidade de conteúdo,vertical,financas-seguros,Investimentos e patrimônio,"[{""name"":""Finanças & Seguros"",""slug"":""financas-seguros"",""relation_type"":""primary""}]",Transversal/indefinido,[],[],[],[],[],,"Audiência INFOMONEY — demografia. 25-44 core investidores (11,0M usuários estimados).",,,,,A/B,"[""demografia"",""cotação"",""infomoney""]",[],[],"11,0M",11000000,grande,"{""demografia_homens"":65,""demografia_mulheres"":35,""idade_18_24"":0,""idade_25_34"":50,""idade_35_44"":50,""idade_45_mais"":0}","{""mobile"":70,""desktop"":22,""tablet"":8}",media,,draft,alta,unverified,,,,,,,False,"[""origem"",""fonte de evidência"",""data de observação"",""validade"",""metodologia"",""canais de ativação explícitos""]",[]
2026-09-15T18:01:28+00:00,1218,sbt-demo-35-44,35-44,35-44,35-44,SBT,SBT,Entretenimento & Mídia,,perfil transversal,transversal,,,[],Transversal/indefinido,[],"[""Conhecimento""]",[],[],[],,"Audiência SBT — demografia. 35-44 (8,4M usuários estimados).",,,,,A/B,"[""demografia"",""cotação"",""sbt""]",[],[],"8,4M",8400000,media,"{""demografia_homens"":45,""demografia_mulheres"":55,""idade_18_24"":0,""idade_25_34"":0,""idade_35_44"":100,""idade_45_mais"":0}","{""mobile"":70,""desktop"":22,""tablet"":8}",media,,draft,média,unverified,,,,,,,False,"[""origem"",""fonte de evidência"",""data de observação"",""validade"",""metodologia"",""canais de ativação explícitos""]",[]
